#   Time (s)     Flux (ppm)    Error (ppm)
 827990.3324      183.10547      50.67776
 829755.7831     -186.86057      50.66534
 831521.2252     -374.19797      50.66309
 835052.1094      302.19556      50.69506
 836817.5515      418.66302      50.69725
 838582.9851      240.20673      50.68917
 840348.4359      143.88562      50.67735
 842113.8781      612.49731      50.68605
 843879.3117      535.72656      50.67705
 845644.7625      428.79581      50.68019
 847410.2048      113.36803      50.67477
 849175.6557       29.32549      50.67646
 850941.0894      117.77878      50.67156
 852706.5317      -29.86193      50.67530
 854471.9827     -110.03017      50.67258
 856237.4164     -113.72566      50.66462
 865064.6286     -108.65927      50.66921
 868595.5222     -325.38174      50.66683
 870360.9561     -153.42236      50.67442
 872126.3986     -134.94492      50.67684
 873891.8498     -299.87097      50.67247
 875657.2924     -133.45480      50.67743
 877422.7264     -176.48935      50.67625
 880953.6203     -444.05460      50.67096
 882719.0630     -278.23450      50.67679
 884484.5057     -244.02142      50.67810
 886249.9484     -175.59528      50.67535
 889780.8339     -401.91412      50.66980
 891546.2767     -460.44589      50.67342
 893311.7281     -366.62817      50.67637
 895077.1623      -74.26739      50.68177
 896842.6138      111.22227      50.68423
 898608.0566      226.37845      50.68339
 900373.4909      265.47910      50.68762
 902138.9424      277.87686      50.68431
 903904.3853      -59.66425      50.68150
 905669.8196      -41.54444      50.68085
 907435.2712     -181.13852      50.68293
 909200.7142     -260.65112      50.68059
 910966.1658     -451.44559      50.67488
 912731.6002     -260.35309      50.68234
 914497.0433       10.96725      50.68628
 916262.4950      368.83356      50.69825
 918027.9294      652.31323      50.70024
 919793.3725      224.11346      50.69207
 921558.8156     -437.67691      50.68065
 923324.2588     -365.31686      50.68013
 925089.7019       55.19390      50.68872
 926855.1451      344.63406      50.69154
 928620.5883      141.14380      50.69177
 930386.0402     -240.08751      50.67812
 932151.4834     -327.76593      50.68535
 933916.9181       -9.00030      50.68976
 935682.3700      210.16599      50.69276
 937447.8133      118.01720      50.69287
 939213.2480      -93.28127      50.68644
 940978.7000     -422.23932      50.68124
 942744.1434     -801.02679      50.66448
 944509.5954     -793.99347      50.67641
 946275.0302     -487.62561      50.68085
 948040.4736     -283.18167      50.68188
 949805.9257      -47.26648      50.69139
 951571.3605       70.92953      50.68531
 953336.8040      194.66876      50.69336
 955102.2562      -75.04225      50.68792
 956867.6911     -143.70680      50.67929
 958633.1346     -182.09219      50.68693
 960398.5869      228.52420      50.69862
 962164.0218      311.01703      50.69548
 963929.4741      179.40997      50.69461
 965694.9177       75.69790      50.69473
 967460.3527      356.19736      50.70050
 969225.8051      533.93842      50.70029
 970991.2488      113.36803      50.69024
 972756.6925     -254.15421      50.68715
 974522.1362     -272.98926      50.68490
 976287.5800        8.58307      50.68851
 978053.0238      -80.46627      50.69334
 979818.4676      -94.29455      50.69014
 981583.9114      -31.23283      50.68583
 983349.3553       92.38720      50.69241
 985114.7991      -99.18213      50.68767
 986880.2430     -342.36908      50.67964
 988645.6956     -197.76822      50.68829
 990411.1309       73.67134      50.69065
 992176.5748     -249.68385      50.67968
 993942.0274     -371.51575      50.68324
 995707.4628     -363.23071      50.68355
 997472.9154     -833.57098      50.66879
 999238.3594    -1003.74219      50.66850
1001003.7949     -659.22736      50.67432
1002769.2476       77.24762      50.69219
1004534.6917      228.52420      50.69385
1006300.1271      -73.61174      50.68414
1008065.5799     -152.70709      50.67981
1009831.0241      116.34827      50.69452
1011596.4769      412.94098      50.69405
1013361.9125      363.70755      50.69152
1015127.3567       46.96846      50.69272
1016892.8096       65.68432      50.68982
1018658.2452      114.91776      50.68950
1020423.6895       -7.98702      50.68683
1022189.1424       34.68990      50.69181
1023954.5781       97.87083      50.68568
1025720.0224       82.25441      50.68395
1027485.4754      162.95911      50.68815
1029250.9198      519.03723      50.69814
1031016.3642      893.35443      50.70901
1032781.8086      832.08081      50.70647
1034547.2445      553.13110      50.69517
1036312.6976      628.59058      50.70374
1038078.1421      664.94940      50.70410
1039843.5779      210.16599      50.69516
1041609.0311       51.73683      50.69138
1043374.4756       82.49283      50.69056
1045139.9202      139.95171      50.69818
1046905.3648      307.79840      50.69658
1048670.8094      267.74408      50.69627
1050436.2627      -59.24702      50.68612
1052201.6987     -304.52014      50.68617
1053967.1434     -433.56418      50.67609
1055732.5967     -302.85120      50.68417
1057498.0328     -192.22498      50.68015
1059263.4775      -15.73563      50.68571
1061028.9309      221.72928      50.69314
1062794.3671      181.19812      50.69825
1064559.8205      117.89799      50.69545
1066325.2653       82.01599      50.69453
1068090.7015       97.15557      50.69427
1069856.1550       21.33846      50.69767
1071621.5999       15.49721      50.69425
1073387.0448      242.11407      50.70469
1075152.4897      103.23524      50.69120
