#BJD - 2454833   Corrected Flux
2780.687329194   0.998952337  
2780.707760971   0.998727631  
2780.728192648   0.998660264  
2780.748624224   0.998980867  
2780.769056001   0.998507659  
2780.789487677   0.998802170  
2780.809919254   0.998404127  
2780.830351030   0.998659789  
2780.850782707   0.998430407  
2780.871214383   0.998620590  
2780.891646059   0.998523230  
2780.912077736   0.998554118  
2780.932509412   0.998937325  
2780.952941088   0.998809021  
2780.973372764   0.998795980  
2780.993804440   0.998641150  
2781.014236116   0.998600814  
2781.034667792   0.998851656  
2781.055099468   0.998918794  
2781.075531144   0.998502193  
2781.095962820   0.998416629  
2781.116394595   0.998381626  
2781.136826171   0.998592169  
2781.157257847   0.998345844  
2781.177689622   0.998577686  
2781.198121198   0.998586272  
2781.218552974   0.998461674  
2781.238984649   0.998780601  
2781.259416225   0.998767938  
2781.279848000   0.998545037  
2781.300279675   0.998654519  
2781.320711251   0.998614177  
2781.341143026   0.998594337  
2781.361574701   0.998720702  
2781.382006276   0.999115585  
2781.402438051   0.998669985  
2781.422869726   0.998473971  
2781.443301401   0.998927502  
2781.463733077   0.998770373  
2781.484164751   0.998784432  
2781.504596526   0.998425380  
2781.545459776   0.998346610  
2781.565891551   0.998557570  
2781.586323226   0.998809497  
2781.606754800   0.999039040  
2781.627186575   0.998401560  
2781.647618249   0.998723294  
2781.668049824   0.998408059  
2781.688481599   0.998695560  
2781.708913173   0.998701945  
2781.729344948   0.998675860  
2781.749776622   0.998673348  
2781.770208196   0.998721574  
2781.790639971   0.998733232  
2781.811071645   0.998641165  
2781.831503219   0.998735217  
2781.851934993   0.998639976  
2781.872366668   0.998601846  
2781.892798242   0.998473766  
2781.913230016   0.998868060  
2781.933661690   0.998745191  
2781.954093364   0.999156324  
2781.974525038   0.998754606  
2781.994956712   0.999120024  
2782.015388486   0.998758004  
2782.035820060   0.998720579  
2782.056251733   0.998755557  
2782.076683507   0.998481915  
2782.097115181   0.998797474  
2782.117546755   0.998332374  
2782.137978528   0.998801707  
2782.158410202   0.998465858  
2782.178841776   0.998849337  
2782.199273549   0.998586768  
2782.219705223   0.998647001  
2782.240136996   0.998409352  
2782.281000243   0.998705595  
2782.301432016   0.998667345  
2782.321863590   0.998536778  
2782.342295263   0.998976670  
2782.362727036   0.998504520  
2782.383158610   0.998536002  
2782.403590283   0.998427169  
2782.424021956   0.998454047  
2782.444453629   0.998671803  
2782.464885402   0.998546025  
2782.485316975   0.998787639  
2782.526180421   0.998914836  
2782.546611994   0.998801994  
2782.567043667   0.999009079  
2782.587475440   0.998732282  
2782.607907013   0.998891481  
2782.628338686   0.998449878  
2782.648770459   0.999023422  
2782.669202132   0.999175145  
2782.689633704   0.998938751  
2782.710065477   0.998842636  
2782.730497150   0.998729096  
