#   Time (s)     Flux (ppm)    Error (ppm)
1364693.0560      -38.92183      53.68088
1366458.5137      -32.60374      53.67761
1368223.9714     -253.79657      53.67775
1369989.4379      -67.11483      53.68270
1371754.8870      154.97208      53.67767
1373520.3448      -65.26709      53.67965
1375285.8113     -266.43277      53.68027
1377051.2605      297.42719      53.68611
1378816.7183      129.69971      53.69092
1380582.1849     -392.43698      53.68654
1382347.6428      -64.49223      53.67731
1384113.1007     -136.85226      53.67931
1385878.5587     -614.76233      53.67309
1387644.0166     -173.86674      53.68422
1389409.4746      296.11588      53.69860
1391174.9326      138.99803      53.68562
1392940.3907      -95.42703      53.68167
1394705.8574      257.49207      53.70468
1396471.3068      227.33212      53.68641
1398236.7735       28.96786      53.69215
1400002.2317      254.03500      53.68730
1401767.6812        4.52995      53.66800
1405298.6061      -27.12011      53.69009
1407064.0557      173.68793      53.68989
1408829.5226      344.75327      53.68762
1410594.9808     -273.40649      53.67493
1412360.4304     -253.55817      53.66667
1414125.8973      199.79477      53.67804
1415891.3556      176.90659      53.68116
1417656.8140      108.95729      53.68356
1419422.2723      139.23645      53.68827
1421187.7307      -39.45827      53.67712
1422953.1891     -377.41663      53.66998
1424718.6475     -322.75916      53.68028
1426484.1059     -346.89905      53.67661
1428249.5643     -246.88245      53.67992
1430015.0228       81.53915      53.68886
